angleTime,angle,distTime,dist
1683582138.3322675,-178.98,1683582138.376594,203
1683582138.376594,-178.98,1683582138.40754,203
1683582138.4536064,-179.71156250923644,1683582138.5642817,233
1683582138.5642817,-181.61156250923645,1683582138.659514,255
1683582138.659514,-184.31156250923644,1683582138.8027039,282
1683582138.8027039,-186.95156250923645,1683582138.9134107,291
1683582138.8657515,-189.68156250923644,1683582138.97689,331
1683582138.97689,-192.52156250923645,1683582139.119843,382
1683582139.119843,-195.37156250923644,1683582139.1518452,435
1683582139.1518452,-198.29156250923646,1683582139.3100562,527
1683582139.3100562,-201.20156250923645,1683582139.4167733,661
1683582139.4167733,-204.10156250923646,1683582139.558855,844
1683582139.479438,-207.15156250923644,1683582139.558855,888
1683582139.558855,-210.06156250923644,1683582139.6695244,867
1683582139.6374722,-213.06156250923644,1683582139.8105419,856
1683582139.8105419,-216.05156250923645,1683582139.8736498,862
1683582139.8736498,-219.00156250923646,1683582139.98487,875
1683582139.98487,-221.12156250923644,1683582140.0805113,887
1683582140.0328364,-221.42156250923645,1683582140.1604567,890
1683582140.1285083,-221.39156250923645,1683582140.3020587,890
1683582140.3020587,-221.39156250923645,1683582140.3808343,894
1683582140.3808343,-221.39156250923645,1683582140.4774482,887
1683582140.459838,-221.39156250923645,1683582140.6041706,893
1683582140.6041706,-221.39156250923645,1683582140.729105,891
1683582140.729105,-221.40156250923644,1683582140.8074136,894
1683582140.8074136,-221.39156250923645,1683582140.934919,887
1683582140.871415,-221.39156250923645,1683582141.0455236,887
1683582141.0455236,-221.39156250923645,1683582141.1411672,892
1683582141.1411672,-221.39156250923645,1683582141.189573,886
