                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1423,                 2.2682,                 1.1452,                0.87648,                0.85536,                0.89617,                0.61725,                 1.1264,                0.94635,                 1.0983,               0.070526,              0.0032749,              0.0032749
                      1,                0.94414,                0.67496,                 1.0233,                0.95725,                0.93177,                0.96641,                0.67532,                 1.1203,                0.60932,                 1.0635,               0.040265,              0.0063465,              0.0063465
                      2,                0.92512,                0.66295,                 1.0033,                0.84008,                0.90006,                0.91835,                0.61533,                 1.2631,                 0.9837,                 1.2167,              0.0097389,              0.0091542,              0.0091542
                      3,                0.93884,                 0.6297,                  1.005,                0.95778,                0.94749,                0.98726,                0.69724,                 1.0445,                0.55121,                 1.0546,               0.008812,               0.008812,               0.008812
                      4,                0.91332,                0.58927,                 1.0024,                0.95749,                0.96808,                0.95544,                0.69461,                0.98916,                0.63618,                 1.0743,               0.008812,               0.008812,               0.008812
                      5,                0.89321,                0.57255,                0.99817,                0.89896,                0.96875,                0.94827,                0.66958,                  1.083,                0.63331,                  1.135,               0.008416,               0.008416,               0.008416
                      6,                 0.9011,                0.54651,                0.99698,                0.94964,                0.97917,                0.97328,                0.72965,                0.99908,                 0.5153,                  1.059,                0.00802,                0.00802,                0.00802
                      7,                0.86809,                 0.5234,                0.99661,                0.94358,                0.98958,                0.98295,                0.69255,                 1.0927,                0.54995,                 1.1263,               0.007624,               0.007624,               0.007624
                      8,                0.86192,                0.51921,                  1.001,                0.93215,                0.98084,                0.97776,                0.71481,                 1.0457,                0.53508,                 1.1172,               0.007228,               0.007228,               0.007228
                      9,                 0.8635,                0.51676,                0.97534,                0.94053,                0.95524,                 0.9582,                0.71058,                 1.0036,                0.50763,                 1.0876,               0.006832,               0.006832,               0.006832
                     10,                  0.831,                0.49078,                0.96415,                0.93991,                      1,                0.97742,                0.76474,                0.87758,                0.48228,                 1.0158,               0.006436,               0.006436,               0.006436
                     11,                0.81464,                0.48782,                0.97112,                0.97259,                      1,                0.98694,                0.74475,                0.95329,                0.46613,                 1.0521,                0.00604,                0.00604,                0.00604
                     12,                0.77113,                0.45998,                 0.9506,                0.91003,                0.98263,                0.99252,                0.75859,                0.92931,                0.51473,                 1.0593,               0.005644,               0.005644,               0.005644
                     13,                0.73914,                0.43745,                0.94868,                0.95055,                0.97917,                0.96107,                0.75056,                0.95231,                0.43294,                 1.0817,               0.005248,               0.005248,               0.005248
                     14,                0.71867,                0.41939,                0.94794,                0.96061,                0.98958,                0.98401,                0.75899,                 0.9381,                0.42579,                 1.0541,               0.004852,               0.004852,               0.004852
                     15,                0.67781,                0.37958,                 0.8997,                0.96451,                0.97917,                 0.9909,                0.72643,                0.98826,                 0.4811,                 1.0738,               0.004456,               0.004456,               0.004456
                     16,                0.67123,                0.38165,                0.90943,                0.95686,                0.98958,                0.97611,                 0.7049,                 1.0152,                0.47883,                 1.1229,                0.00406,                0.00406,                0.00406
                     17,                0.65527,                0.37575,                0.89554,                 0.9238,                0.98958,                0.97721,                0.74764,                0.93125,                0.44034,                 1.0598,               0.003664,               0.003664,               0.003664
                     18,                0.63379,                0.35819,                0.89399,                 0.9776,                      1,                  0.995,                0.74783,                0.95466,                0.42855,                 1.0653,               0.003268,               0.003268,               0.003268
                     19,                0.61993,                0.34328,                0.88058,                0.96814,                0.98174,                0.99262,                0.74888,                0.89934,                0.41833,                 1.0408,               0.002872,               0.002872,               0.002872
                     20,                0.60892,                0.33326,                0.88137,                0.98739,                0.99706,                  0.995,                0.77236,                 0.8709,                0.39286,                 1.0349,               0.002476,               0.002476,               0.002476
                     21,                0.58015,                 0.3252,                0.87307,                0.96876,                0.98958,                0.98306,                 0.7828,                0.88498,                0.39904,                 1.0413,                0.00208,                0.00208,                0.00208
                     22,                0.56074,                0.31798,                 0.8592,                0.95777,                0.95833,                0.98123,                0.77293,                0.86681,                0.41727,                 1.0323,               0.001684,               0.001684,               0.001684
                     23,                0.53083,                0.30004,                0.85034,                0.96456,                0.98958,                0.98442,                0.78418,                 0.8935,                0.40063,                 1.0553,               0.001288,               0.001288,               0.001288
                     24,                0.50301,                0.28986,                0.84007,                 0.9719,                0.98958,                0.98522,                0.78559,                0.86084,                0.38723,                 1.0453,               0.000892,               0.000892,               0.000892
